Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 06:28:00  12/08/2019,2.39,55.33,55.90,1,55.59,40,17.33,-5.11,-27.56,3,42,32,30.72,3.28,81.72,-29.00,33.71,0,21.89,24.17,37.00,40,15.22,2,13.90,1,51.83,38.33,46.28,1,65.00,17.33,28.30,17.17,4,0,0,3837,3836,14.20,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.30,2.17,2.39,65.00,0,27,-4.00,27,5.83,0.83,55.72,55.39,-5.06,1,35.52,28.84,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.52,0,13.89,2.28,0,10.00,13.78,0,11.61,0,35.52,2.22,20.00,0,0,0.00,16.22,11.72,0.00,14.22,36.00,2.22,10.00,20.00,1,13.72,20.00,10.00,1,13.11,2.22,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.90,-3.20,3.50,3.70,12.10,234.50,235.80,235.00,14.90,16.60,12.40
 06:30:00  12/08/2019,2.39,56.44,55.90,1,55.28,40,17.33,-5.11,-29.17,2,43,50,32.06,2.89,73.56,-29.00,33.71,0,22.22,24.17,37.00,40,15.22,2,9.90,1,51.44,38.33,46.28,1,65.00,17.33,23.40,17.17,4,0,0,3837,3836,13.33,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.20,2.17,2.39,65.00,0,22,-4.00,22,8.22,3.22,57.00,55.03,-5.06,1,35.52,28.80,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.72,10.00,35.42,0,13.89,2.28,0,10.00,13.78,0,11.61,0,35.42,2.22,20.00,0,0,0.00,16.22,11.72,0.00,14.22,36.00,2.22,10.00,20.00,1,13.72,20.00,10.00,1,13.11,2.22,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.90,-3.20,3.50,3.70,12.10,234.50,235.80,235.00,14.90,16.60,12.40
 06:32:00  12/08/2019,2.39,56.44,55.90,1,55.28,40,17.33,-5.11,-29.17,2,43,50,32.06,2.89,73.56,-29.00,33.71,0,22.22,24.17,37.00,40,15.22,2,9.90,1,51.44,38.33,46.28,1,65.00,17.33,23.40,17.17,4,0,0,3837,3836,13.33,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.20,2.17,2.39,65.00,0,22,-4.00,22,8.22,3.22,57.00,55.03,-5.06,1,35.52,28.80,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.72,10.00,35.42,0,13.89,2.28,0,10.00,13.78,0,11.61,0,35.42,2.22,20.00,0,0,0.00,16.22,11.72,0.00,14.22,36.00,2.22,10.00,20.00,1,13.72,20.00,10.00,1,13.11,2.22,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.90,-3.20,3.50,3.70,12.10,234.50,235.80,235.00,14.90,17.10,11.60
 06:34:00  12/08/2019,2.39,57.00,55.90,1,55.63,41,17.33,-5.11,-30.78,1,34,50,33.50,2.89,73.83,-29.00,33.71,0,22.22,24.17,37.00,41,15.22,2,7.30,1,51.44,38.06,46.28,1,65.00,17.33,21.60,17.17,4,0,0,3837,3836,12.56,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.32,2.17,2.39,65.00,0,19,-4.00,19,10.00,5.22,57.67,55.37,-5.06,1,35.52,29.01,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.72,10.00,35.52,0,13.89,2.28,0,10.00,13.78,0,11.61,0,35.52,2.22,20.00,0,0,0.00,16.22,11.72,0.00,14.22,36.00,2.22,10.00,20.00,1,13.72,20.00,10.00,1,13.11,2.22,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.90,-3.20,3.50,3.70,12.10,234.50,235.80,235.00,14.90,17.10,11.60
 06:36:00  12/08/2019,2.39,57.00,55.90,1,55.92,39,16.89,-4.56,-27.28,3,45,32,30.22,2.89,77.94,-29.00,33.71,0,21.89,24.17,37.00,39,15.22,2,7.30,1,51.44,38.06,46.28,1,65.00,16.89,22.20,17.17,4,0,0,3837,3836,14.35,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.52,2.17,2.39,65.00,0,18,-4.00,18,10.00,5.56,58.22,55.59,-4.61,1,35.52,29.28,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.71,0,13.89,2.28,0,10.00,13.78,0,11.22,0,35.71,2.22,20.00,0,0,0.00,16.22,11.72,0.00,14.22,36.00,2.22,10.00,20.00,1,13.39,20.00,10.00,1,13.11,2.22,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.90,-3.20,3.50,3.70,12.10,234.50,235.80,235.00,14.90,17.10,11.60
 06:38:00  12/08/2019,2.39,57.67,55.86,1,56.14,34,16.56,-3.89,-29.17,2,43,50,32.22,2.89,76.22,-29.00,33.71,0,21.44,24.17,37.00,34,15.22,2,11.30,1,51.44,38.06,46.61,1,65.00,16.56,24.50,17.17,4,0,0,3837,3836,13.31,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.77,2.61,2.39,65.00,0,19,-4.00,19,11.06,7.22,58.61,55.88,-3.89,1,35.52,29.86,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.11,10.00,36.01,0,13.89,2.72,0,10.00,13.78,0,11.22,0,36.01,2.72,20.00,0,0,0.00,16.22,11.28,0.00,14.22,36.00,2.72,10.00,20.00,1,13.00,20.00,10.00,1,13.11,2.72,0.00,16.00,36.50,0,0.00,20.00,1,2.70,30.20,9.90,-3.20,3.50,3.70,12.10,234.50,235.80,235.00,14.90,17.10,11.60
 06:40:00  12/08/2019,2.39,58.17,55.86,1,56.31,30,16.56,-3.33,-30.06,2,39,50,33.17,2.89,78.06,-29.00,33.71,0,21.44,24.17,37.00,30,15.22,2,14.50,1,51.78,38.06,46.61,1,65.00,16.56,28.20,17.17,4,0,0,3837,3836,12.90,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.77,2.61,2.39,65.00,0,22,-4.00,22,11.39,8.06,59.00,56.05,-3.39,1,35.52,30.35,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.11,10.00,36.01,0,13.89,2.72,0,10.00,13.78,0,11.22,0,35.91,2.72,20.00,0,0,0.00,16.22,11.28,0.00,14.22,36.00,2.72,10.00,20.00,1,13.00,20.00,10.00,1,13.11,2.72,0.00,15.72,36.50,0,0.00,20.00,1,2.70,30.20,9.90,-3.20,3.50,3.70,12.10,234.50,235.80,235.00,14.90,17.10,11.60
 06:42:00  12/08/2019,2.39,58.17,55.86,1,56.31,30,16.56,-3.33,-30.06,2,39,50,33.17,2.89,78.06,-29.00,33.71,0,21.44,24.17,37.00,30,15.22,2,14.50,1,51.78,38.06,46.61,1,65.00,16.56,28.20,17.17,4,0,0,3837,3836,12.90,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.77,2.61,2.39,65.00,0,22,-4.00,22,11.39,8.06,59.00,56.05,-3.39,1,35.52,30.35,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.11,10.00,36.01,0,13.89,2.72,0,10.00,13.78,0,11.22,0,35.91,2.72,20.00,0,0,0.00,16.22,11.28,0.00,14.22,36.00,2.72,10.00,20.00,1,13.00,20.00,10.00,1,13.11,2.72,0.00,15.72,36.50,0,0.00,20.00,1,2.70,30.20,12.00,-3.20,5.50,3.70,9.90,233.30,235.80,235.00,24.20,17.10,10.90
 06:44:00  12/08/2019,2.39,58.56,55.86,1,56.02,31,17.00,-3.33,-30.56,1,32,50,33.72,3.17,80.72,-29.00,33.71,0,21.44,24.17,37.00,31,15.22,2,16.70,1,51.78,38.06,46.61,1,65.00,16.94,29.70,17.17,4,0,0,3837,3836,12.67,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.68,2.61,2.39,65.00,0,25,-4.00,25,11.39,8.06,59.33,55.85,-3.39,1,35.52,30.47,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.11,10.00,35.91,0,13.89,2.72,0,10.00,13.78,0,11.22,0,35.91,2.72,20.00,0,0,0.00,16.22,11.28,0.00,14.22,36.00,2.72,10.00,20.00,1,13.00,20.00,10.00,1,13.11,2.72,0.00,15.72,36.50,0,0.00,20.00,1,2.70,30.20,12.00,-3.20,5.50,3.70,9.90,233.30,235.80,235.00,24.20,17.10,10.90
 06:46:00  12/08/2019,2.39,58.56,55.90,1,55.69,37,17.67,-3.61,-27.11,3,46,32,30.50,3.17,82.11,-29.00,33.71,0,21.83,24.17,37.00,37,15.22,2,15.10,1,52.28,38.06,46.11,1,65.00,17.67,27.70,17.17,4,0,0,3837,3836,14.39,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.38,2.22,2.39,65.00,0,26,-4.00,26,8.78,5.00,59.33,55.51,-3.39,1,35.52,30.10,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.62,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.52,2.22,20.00,0,0,0.00,16.22,11.72,0.00,14.22,36.00,2.22,10.00,20.00,1,13.50,20.00,10.00,1,13.11,2.28,0.00,15.72,36.00,0,0.00,20.00,1,2.70,30.20,12.00,-3.20,5.50,3.70,9.90,233.30,235.80,235.00,24.20,17.10,10.90
 06:48:00  12/08/2019,2.39,57.83,55.97,1,55.93,41,17.67,-4.00,-29.83,2,41,50,32.83,3.17,77.06,-29.00,33.71,0,21.83,24.17,37.00,41,15.22,2,12.30,1,52.28,37.78,46.11,1,65.00,17.67,27.70,17.17,4,0,0,3837,3836,13.01,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.30,2.22,2.39,65.00,0,25,-4.00,25,7.94,4.00,58.28,55.67,-3.94,1,35.52,29.77,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.52,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.52,2.22,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.78,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,12.00,-3.20,5.50,3.70,9.90,233.30,235.80,235.00,24.20,17.10,10.90
 06:50:00  12/08/2019,2.39,57.83,56.03,1,55.93,40,17.67,-4.39,-29.44,2,36,32,32.33,3.17,79.17,-29.00,33.71,0,21.83,24.17,37.00,40,15.22,2,11.00,1,52.28,37.78,46.11,1,65.00,17.67,26.90,17.17,4,0,0,3837,3836,13.37,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.38,2.22,2.39,65.00,0,24,-4.00,24,8.56,4.00,58.28,55.71,-4.33,1,35.52,29.46,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.62,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.52,2.22,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.78,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,12.00,-3.20,5.50,3.70,9.90,233.30,235.80,235.00,24.20,17.10,10.90
 06:52:00  12/08/2019,2.39,58.22,56.10,1,56.13,39,17.22,-4.39,-27.00,3,49,32,30.11,3.17,80.33,-29.00,33.71,0,21.83,24.17,37.00,39,15.22,2,11.00,1,52.28,37.78,46.11,1,65.00,17.22,26.90,17.17,4,0,0,3837,3836,14.46,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.46,2.22,2.39,65.00,0,23,-4.00,23,8.56,4.00,58.78,55.89,-4.33,1,35.52,29.49,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.71,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.62,2.22,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.78,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,11.30,-3.20,5.00,3.70,11.60,233.90,235.80,235.50,21.70,16.00,11.90
 06:54:00  12/08/2019,2.39,58.22,56.10,1,56.13,39,17.22,-4.39,-27.00,3,49,32,30.11,3.17,80.33,-29.00,33.71,0,21.83,24.17,37.00,39,15.22,2,11.00,1,52.28,37.78,46.11,1,65.00,17.22,26.90,17.17,4,0,0,3837,3836,14.46,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.46,2.22,2.39,65.00,0,23,-4.00,23,8.56,4.00,58.78,55.89,-4.33,1,35.52,29.49,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.71,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.62,2.22,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.78,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,11.30,-3.20,5.00,3.70,11.60,233.90,235.80,235.50,21.70,16.00,11.90
 06:56:00  12/08/2019,2.39,58.22,56.15,1,56.20,37,17.22,-4.11,-30.67,1,36,50,33.67,3.17,76.50,-29.00,33.71,0,21.83,24.17,37.00,37,15.22,2,12.30,1,52.28,37.78,46.11,1,65.00,17.22,26.90,17.17,4,0,0,3837,3836,12.51,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.60,2.22,2.39,65.00,0,23,-4.00,23,9.83,5.83,59.11,55.95,-4.33,1,35.52,29.66,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.82,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.82,2.50,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.28,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,11.30,-3.20,5.00,3.70,11.60,233.90,235.80,235.50,21.70,16.00,11.90
 06:58:00  12/08/2019,2.39,58.72,56.19,1,56.11,36,17.22,-4.11,-29.67,2,33,32,32.83,3.17,80.83,-29.00,33.71,0,21.83,24.17,37.00,36,15.22,2,13.80,1,52.28,37.78,46.11,1,65.00,17.22,25.60,17.17,4,0,0,3837,3836,13.16,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.60,2.22,2.39,65.00,0,22,-4.00,22,9.17,4.94,59.44,55.86,-4.33,1,35.52,29.66,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.82,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.82,2.50,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.28,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,11.30,-3.20,5.00,3.70,11.60,233.90,235.80,235.50,21.70,16.00,11.90
 07:00:00  12/08/2019,2.39,58.72,56.22,1,56.45,36,17.22,-3.78,-29.06,2,34,32,32.33,3.17,82.28,-29.00,33.71,0,21.83,24.17,37.00,36,15.22,2,12.90,1,52.28,37.78,46.11,1,65.00,17.22,27.00,17.17,4,0,0,3837,3836,13.42,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.43,2.22,2.39,65.00,0,23,-4.00,23,9.17,5.28,59.44,56.20,-3.78,1,35.52,29.97,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.62,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.62,2.50,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.61,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,11.30,-3.20,5.00,3.70,11.60,233.90,235.80,235.50,21.70,16.00,11.90
 07:02:00  12/08/2019,2.39,59.11,56.22,1,56.56,35,17.22,-3.44,-29.06,2,33,32,32.33,3.17,82.28,-29.00,33.71,0,21.83,24.17,37.00,35,15.22,2,12.90,1,52.28,37.78,46.11,1,65.00,17.22,29.50,17.17,4,0,0,3837,3836,13.36,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.47,2.22,2.39,65.00,0,26,-4.00,26,9.17,6.06,59.83,56.32,-3.44,1,35.52,30.25,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.71,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.62,2.50,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.61,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.80,-3.20,3.40,3.70,11.60,233.90,235.00,234.60,15.20,17.10,11.90
 07:04:00  12/08/2019,2.39,59.11,56.22,1,56.56,35,17.22,-3.44,-29.06,2,33,32,32.33,3.17,82.28,-29.00,33.71,0,21.83,24.17,37.00,35,15.22,2,12.90,1,52.28,37.78,46.11,1,65.00,17.22,29.50,17.17,4,0,0,3837,3836,13.36,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.47,2.22,2.39,65.00,0,26,-4.00,26,9.17,6.06,59.83,56.32,-3.44,1,35.52,30.25,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.71,0,13.89,2.28,0,10.00,13.78,0,11.50,0,35.62,2.50,20.00,0,0,0.00,16.22,11.72,0.00,13.89,36.00,2.22,10.00,20.00,1,13.61,20.00,10.00,1,13.11,2.28,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.80,-3.20,3.40,3.70,11.60,233.90,235.00,234.60,15.20,17.10,11.90
 07:06:00  12/08/2019,2.39,59.11,56.22,1,56.31,35,17.22,-3.44,-29.06,2,33,32,32.33,3.17,82.28,-29.00,33.71,0,21.83,24.17,37.00,35,15.22,2,15.70,1,52.72,37.78,46.11,1,65.00,17.22,30.30,17.17,4,0,0,3837,3836,13.46,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.73,2.61,2.39,65.00,0,27,-4.00,27,8.11,4.44,59.83,56.10,-3.44,1,35.52,30.25,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,36.01,0,13.89,2.72,0,10.00,13.78,0,11.22,0,35.91,2.50,20.00,0,0,0.00,16.22,11.28,0.00,13.89,36.00,2.61,10.00,20.00,1,13.28,20.00,10.00,1,13.11,2.61,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.80,-3.20,3.40,3.70,11.60,233.90,235.00,234.60,15.20,17.10,11.90
 07:08:00  12/08/2019,2.39,58.44,56.22,1,56.19,38,17.67,-3.94,-28.56,2,35,32,31.94,3.17,81.39,-29.00,33.71,0,21.83,24.17,37.00,38,15.22,2,17.10,1,52.72,37.50,45.83,1,65.00,17.67,29.60,17.17,4,0,0,3837,3836,13.65,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.61,2.61,2.39,65.00,0,27,-4.00,27,6.67,2.78,58.94,55.97,-3.89,1,35.52,29.82,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.39,10.00,35.82,0,13.89,2.72,0,10.00,13.78,0,11.22,0,35.82,2.50,20.00,0,0,0.00,16.22,11.28,0.00,13.89,36.00,2.61,10.00,20.00,1,13.28,20.00,10.00,1,13.11,2.61,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.80,-3.20,3.40,3.70,11.60,233.90,235.00,234.60,15.20,17.10,11.90
 07:10:00  12/08/2019,2.39,58.00,56.22,1,56.10,39,17.67,-4.28,-28.56,2,37,32,31.94,3.17,79.89,-29.00,33.71,0,21.83,24.17,37.00,39,15.22,2,14.80,1,52.72,37.50,45.83,1,65.00,17.67,27.60,17.17,4,0,0,3837,3836,13.65,98852,0,50011,26570,0,0,-4.00,0,3836,1,0,0,0,0,35.31,2.17,2.39,65.00,0,26,-4.00,26,7.33,3.11,58.50,55.90,-4.28,1,35.52,29.53,-0.61,0.30,0.10,0.40,444,0.40,0.10,0.10,0.30,0.00,0.30,0.00,1882,156,0.00,0.10,98,14457,0.00,0.40,1.00,1.00,0,-0.22,33.23,0.00,9637,134,0.20,134,3698,14487,164,98,0,4838,156,0.20,0.00,1645,67,0.30,437,0.00,164,67,8588,11.72,10.00,35.52,0,13.89,2.22,0,10.00,13.78,0,11.72,0,35.52,2.22,20.00,0,0,0.00,16.22,11.78,0.00,13.89,36.00,2.11,10.00,20.00,1,13.78,20.00,10.00,1,13.11,2.11,0.00,16.00,36.00,0,0.00,20.00,1,2.70,30.20,9.80,-3.20,3.40,3.70,11.60,233.90,235.00,234.60,15.20,17.10,11.90
