time;suction_mt;rc_mt_comp1;tamb;mt_comp1;mt_comp2;mt_comp3;mt_comp4;mt_pwr_tot;suction_lt;rc_lt_comp1;lt_comp1;lt_comp2;lt_comp3;lt_pwr_tot
01 01 2019 05:25:00;-15;48;4.2;Active;Inactive;Inactive;Inactive;22.8;-31.3;84;Active;Inactive;Inactive;16.8
01 01 2019 05:30:00;-12.6;82;4.1;Active;Inactive;Inactive;Inactive;32.4;-32.1;67;Active;Inactive;Inactive;19.2
01 01 2019 05:35:00;-15.2;39;4;Active;Inactive;Active;Inactive;22.8;-34.5;25;Active;Inactive;Inactive;16.8
01 01 2019 05:40:00;-14.4;55;4;Active;Inactive;Inactive;Inactive;27.6;-34.4;17;Active;Inactive;Inactive;18
01 01 2019 05:45:00;-15.7;35;4;Active;Inactive;Active;Inactive;27.6;-32;65;Active;Inactive;Active;18
01 01 2019 05:50:00;-15.4;32;4;Active;Inactive;Inactive;Inactive;26.4;-32.9;56;Active;Inactive;Inactive;16.8
01 01 2019 05:55:00;-13.5;71;4;Active;Inactive;Inactive;Inactive;27.6;-33.8;31;Active;Inactive;Inactive;18
01 01 2019 06:00:00;-15.7;24;4;Active;Inactive;Inactive;Active;26.4;-33.1;41;Active;Inactive;Active;21.6
01 01 2019 06:05:00;-14.4;56;4;Active;Inactive;Inactive;Inactive;21.6;-33.3;61;Active;Inactive;Inactive;18
01 01 2019 06:10:00;-11.2;100;4;Active;Inactive;Inactive;Inactive;28.8;-32.1;65;Active;Inactive;Active;21.6
01 01 2019 06:15:00;-13.8;61;4;Active;Inactive;Inactive;Inactive;15.6;-34;30;Active;Inactive;Inactive;20.4
01 01 2019 06:20:00;-11.4;100;3.9;Active;Inactive;Inactive;Inactive;28.8;-30.8;20;Active;Inactive;Inactive;20.4
01 01 2019 06:25:00;-14.1;52;3.8;Active;Inactive;Inactive;Active;24;-32.1;65;Active;Inactive;Active;24
01 01 2019 06:30:00;-3.3;45;3.8;Active;Inactive;Inactive;Inactive;30;-34.6;23;Active;Inactive;Active;15.6
01 01 2019 06:35:00;-12.7;80;3.8;Active;Inactive;Inactive;Inactive;21.6;-32.8;0;Inactive;Inactive;Inactive;16.8
01 01 2019 06:40:00;-13.7;60;3.8;Active;Inactive;Inactive;Inactive;34.8;-31.8;71;Active;Active;Active;20.4
01 01 2019 06:45:00;-14.9;40;3.8;Active;Inactive;Inactive;Active;25.2;-34.3;29;Active;Inactive;Active;19.2
01 01 2019 06:50:00;-14.1;53;3.7;Active;Inactive;Inactive;Inactive;27.6;-32.6;78;Active;Inactive;Inactive;18
01 01 2019 06:55:00;-15.7;27;3.7;Active;Inactive;Inactive;Inactive;22.8;-32.6;58;Active;Inactive;Active;19.2
01 01 2019 07:00:00;-14.4;64;3.7;Active;Inactive;Inactive;Inactive;27.6;-33.9;49;Active;Inactive;Inactive;19.2
01 01 2019 07:05:00;-11.2;43;3.7;Active;Inactive;Inactive;Inactive;26.4;-32.3;58;Active;Inactive;Active;15.6
01 01 2019 07:10:00;-11.9;93;3.7;Active;Inactive;Inactive;Inactive;18;-34.9;10;Active;Inactive;Active;18
01 01 2019 07:15:00;-13.3;68;3.6;Active;Inactive;Inactive;Active;26.4;-32;74;Active;Inactive;Inactive;16.8
01 01 2019 07:20:00;-16.3;14;3.5;Active;Inactive;Inactive;Active;30;-32.4;56;Active;Inactive;Inactive;19.2
